Estandar;grado;periodo;id_materia oficial;nombre_dba;Evidencia de aprendizaje;Eje tematico
"Reconozco el 
conflicto como una 
oportunidad para 
aprender a fortalecer 
nuestras relaciones";7;3;8;"Asume  una comprensión crítica 
frente a los medios de 
comunicación masiva y analizo 
su influencia en la sociedad 
actual";"las relaciones, incluyendo la de pareja, y 
que se pueden manejar de manera 
constructiva. 
Identifica situaciones en las que distintos 
derechos o valores entran en conflicto y 
analiza opciones de solución. 
Identifica los trámites necesarios en la 
obtención del pase. 
Señalo las clases de conflictos existentes y 
determino cual es el origen primario en 
cada uno. ";"Unidad 5 Pobreza 
Extrema. 
1. 5.1. Definición 
de Pobreza 
Extrema. 
2. 5.2. La 
Pobreza según 
las Naciones 
Unidas. 
3. 5.3. Maneras 
de Combatir la 
Pobreza. 
Unidad 6. 
Combatiendo la 
Desigualdad. 
4. 6.1. La 
desigualdad y 
Desarrollo 
Humano. 
5. 6.2. Causas de 
la 
Desigualdad. 
6. 6.3. Acciones 
para Reducir la 
Desigualdad"
"Reconoce que todos los seres 
humanos somos diferentes 
rechazando el racismo, 
religión, sexo";8;3;8;"Actúa basada en principios y 
valores sociales conservados 
en los grupos donde 
interactúa";"Reconoce que todos los seres 
humanos somos diferentes 
rechazando el racismo, 
religión, sexo";UNIDAD 3. LA DISCRIMINACION 3.1. Tipos de discriminación 3.2. Discriminación y derechos humanos
"Reconocimiento de los 
mecanismos de la persona 
joven, para el ejercicio de sus 
derechos y deberes como 
integrantes de la comunidad";9;3;8;Derechos humanos. Derechos para vivir en paz. Conflicto y derechos humanos.;"Analiza críticamente su 
participación en situaciones 
que vulneran los derechos e 
identifica como dicha 
participación contribuye a 
mejorar o empeorar la 
situación. 
Propone acciones no 
violentas para impedir la 
vulneración de derechos 
civiles y políticos. 
Analiza el papel de los 
medios de comunicación y 
valora el papel de las 
organizaciones en la 
construcción de la sociedad 
civil. 
Conoce las medidas que 
contribuyen a la eliminación 
de la guerra del centavo. ";El derecho a la libre asociación. • Las diversas formas de asociación colombiana. • Ventajas de actuar bajo el marco de la ley. • El derecho a la rectificación. • La tarea de los jueces. • La importancia del cuidado. • Cumplimiento de deberes y obligaciones como ciudadanos. • La guerra del centavo
Valoro} positivamente las normas constitucionales que hacen posible la preservación de las diferencias culturales y políticas, que regulan nuestra convivencia;10;3;8;"Actúa basada en 
principios y valores 
sociales conservados 
en los grupos donde 
interactúa. ";"Señala la diferencia de espacio 
público como bien común. 
Enumera los factores que 
influyen en el determinismo 
social.";Unidad 3. Colombia Estado Social de Derecho.
Conoce los diferentes tipos de conflictos que se presentan en una comunidad.;11;3;8;Identifico las acciones que actuó en contra de los derechos de otras personas y comprendo por qué esas acciones vulneran sus derechos;"Comprende que la escuela y las instituciones 
públicas y privadas promueven los derechos 
humanos. 
Identifica lo valioso de la riqueza cultural y 
natural de la nación. 
Valora el talento humano que genera 
cambios y progreso. ";"UNIDAD 3. TIPOLOGIA DEL 
CONFLICTO. 
3.1. Superación del conflicto 
3.2. Tipos de conflictos 
3.3. Como combatir 
estereotipos 
3.4. Valoración de conflictos"
"•	Aplica los principios de organización empresarial";6;3;9;"•	Conoce, aplica y resalta los principios y estrategias de manejo, organización y estructuración empresarial";"•	Conoce los procedimientos básicos para empezar un proyecto empresarial.
•	Entiende los elementos de la administración de empresas
•	Cultiva sus cualidades para ser un buen emprendedor.
•	Valora su actitud emprendedora en su proyecto de vida.
•	Conoce actuales propuestas ambientales de aprovechamiento de residuos";"•	Emprendedor
•	Comercio y comerciante
•	Elemento de la administración de empresas
•	Administración de empresas"
"•	Aplica los principios de organización empresarial";7;3;9;Conoce, aplica y resalta los principios y estrategias de manejo, organización y estructuración empresarial;"•	Comprende la evolución del entorno y sus proyectos innovadores y emprendedores
•	Determina los valores y roles administrativos
•	Realiza pequeños estudios de mercado
•	Aplica en su proyecto de vida los roles y valores administrativos 
•	Plantea la viabilidad comercial de un producto agrícola de la región  que sea amigable del medio ambiente";"•	Evolución histórica del entorno
•	Estudios de mercado
•	Roles y valores administrativos
•	Proyecto de vida"
"•	Aplica los principios de organización empresarial";8;3;9;"•	Conoce, aplica y resalta los principios y estrategias de manejo, organización y estructuración empresarial";"•	Comprende las metodologías para la toma de decisiones.
•	Reflexiona sobre las metodologías para la toma de decisiones.
•	Aplica en su proyecto de vida las metodologías para la toma de decisiones.
•	Propone recompensas sociales de manera eficaz y efectiva por el cuidado del medio ambiente en la institución";"•	Toma de decisiones
•	Metodología de decisiones"
"•	Aplica los principios de organización empresarial";9;3;9;"•	Conoce, aplica y resalta los principios y estrategias de manejo, organización y estructuración empresarial.
•	Reconoce las tendencias emprendedoras del entorno";"•	Identifica las tendencias de emprendimiento de la localidad.
•	Reflexiona sobre la eficiencia de la tendencias de emprendimiento de la localidad
•	Identifica los agentes contaminantes de la localidad
•	Propone creativamente planes de contingencia para evitar riesgos";"•	Tendencias
•	Emprendimiento
•	Ciudadanía local
•	Planes de contingencia"
"•	Aplica los principios de organización empresarial";10;3;9;"•	Conoce, aplica y resalta los principios y estrategias de manejo, organización y estructuración empresarial";"•	Conoce los riesgos y oportunidades en una idea emprendedora
•	Identifica las oportunidades en los negocios emprendedores de su entorno cercano.
•	Identifica riesgos y oportunidades del mundo académico y laboral que llame su atención
•	Predice riesgos ambientales en la región
•	Socializa la matriz DOFA de la feria del emprendimiento";"•	Riesgos
•	Oportunidades
•	Emprendimiento
•	Académico
•	Laboral"
"•	Aplica los principios de organización empresarial";11;3;9;"•	conozco, aplico y resalto los principios y estrategias de manejo, organización y estructuración empresarial.
•	Conoce la importancia del ámbito laboral";"•	Conoce las obligaciones que impone un contrato laboral cuando se comienza y termina dicho contrato.
•	Comprende el impacto administrativo y financiero del registro en comprobantes y libros contables.
•	Entiende el mejoramiento continuo. 
•	Aplica la reingeniería de procesos en su proyecto de vida
•	Propone un proceso de reingeniería en la recolección de residuos
•	Aplica la matriz DOFA a la feria de emprendimiento implementada en la institución";"•	Contrato laboral
•	Mejoramiento continuo
•	Reingeniería
•	Proyecto de vida
•	Comprobantes y libros contables"
